Order_ID,Date,Region,Product,Quantity,Unit_Price,Total_Sales
1001,2025-01-01,East,Mobile,1,3369,3369
1002,2025-01-02,West,Mobile,3,61635,184905
1003,2025-01-03,North,Headphones,8,50608,404864
1004,2025-01-04,East,Mobile,6,38967,233802
1005,2025-01-05,East,Mobile,8,23828,190624
1006,2025-01-06,West,Headphones,9,4487,40383
1007,2025-01-07,North,Headphones,4,59371,237484
1008,2025-01-08,North,Laptop,1,22899,22899
1009,2025-01-09,East,Smartwatch,1,46714,46714
1010,2025-01-10,South,Smartwatch,4,70771,283084
1011,2025-01-11,East,Mobile,7,44564,311948
1012,2025-01-12,East,Smartwatch,2,70591,141182
1013,2025-01-13,East,Mobile,3,41318,123954
1014,2025-01-14,East,Laptop,1,46025,46025
1015,2025-01-15,West,Headphones,5,20330,101650
1016,2025-01-16,North,Headphones,1,17929,17929
1017,2025-01-17,West,Headphones,8,7393,59144
1018,2025-01-18,West,Smartwatch,1,47833,47833
1019,2025-01-19,West,Laptop,1,3936,3936
1020,2025-01-20,East,Smartwatch,2,74790,149580
1021,2025-01-21,South,Smartwatch,2,76713,153426
1022,2025-01-22,North,Laptop,6,6395,38370
1023,2025-01-23,South,Laptop,7,20238,141666
1024,2025-01-24,West,Laptop,5,31246,156230
1025,2025-01-25,West,Laptop,1,49877,49877
1026,2025-01-26,South,Headphones,1,48904,48904
1027,2025-01-27,South,Tablet,3,54545,163635
1028,2025-01-28,South,Tablet,2,40290,80580
1029,2025-01-29,West,Laptop,5,6100,30500
1030,2025-01-30,West,Tablet,6,41264,247584
1031,2025-01-31,North,Tablet,7,75043,525301
1032,2025-02-01,North,Laptop,4,46214,184856
1033,2025-02-02,West,Tablet,7,57335,401345
1034,2025-02-03,South,Smartwatch,8,74244,593952
1035,2025-02-04,South,Mobile,1,56991,56991
1036,2025-02-05,North,Mobile,6,19089,114534
1037,2025-02-06,West,Laptop,8,43984,351872
1038,2025-02-07,North,Headphones,5,36712,183560
1039,2025-02-08,North,Laptop,4,44025,176100
1040,2025-02-09,East,Headphones,2,47702,95404
1041,2025-02-10,East,Mobile,6,33135,198810
1042,2025-02-11,East,Laptop,6,63708,382248
1043,2025-02-12,South,Smartwatch,1,34328,34328
1044,2025-02-13,West,Tablet,9,19211,172899
1045,2025-02-14,West,Headphones,6,3920,23520
1046,2025-02-15,West,Tablet,3,801,2403
1047,2025-02-16,West,Tablet,4,45736,182944
1048,2025-02-17,East,Laptop,4,66735,266940
1049,2025-02-18,South,Tablet,3,54740,164220
1050,2025-02-19,South,Smartwatch,3,66226,198678
1051,2025-02-20,East,Tablet,3,10992,32976
1052,2025-02-21,South,Laptop,4,6602,26408
1053,2025-02-22,East,Smartwatch,7,50836,355852
1054,2025-02-23,West,Mobile,4,27141,108564
1055,2025-02-24,East,Tablet,9,35084,315756
1056,2025-02-25,West,Laptop,1,33245,33245
1057,2025-02-26,West,Mobile,8,23593,188744
1058,2025-02-27,North,Mobile,7,66605,466235
1059,2025-02-28,East,Headphones,2,52385,104770
1060,2025-03-01,North,Smartwatch,8,37131,297048
1061,2025-03-02,East,Tablet,1,73491,73491
1062,2025-03-03,East,Laptop,9,4514,40626
1063,2025-03-04,North,Headphones,9,11593,104337
1064,2025-03-05,North,Smartwatch,2,18570,37140
1065,2025-03-06,East,Headphones,7,36277,253939
1066,2025-03-07,South,Smartwatch,3,57458,172374
1067,2025-03-08,West,Smartwatch,7,11229,78603
1068,2025-03-09,North,Tablet,9,45517,409653
1069,2025-03-10,West,Smartwatch,4,66820,267280
1070,2025-03-11,South,Headphones,1,28251,28251
1071,2025-03-12,South,Smartwatch,2,78569,157138
1072,2025-03-13,South,Tablet,1,55248,55248
1073,2025-03-14,North,Tablet,5,6301,31505
1074,2025-03-15,South,Headphones,5,19690,98450
1075,2025-03-16,North,Mobile,7,50189,351323
1076,2025-03-17,South,Mobile,9,51493,463437
1077,2025-03-18,West,Smartwatch,9,30092,270828
1078,2025-03-19,West,Laptop,3,11147,33441
1079,2025-03-20,East,Smartwatch,3,9216,27648
1080,2025-03-21,West,Headphones,3,70816,212448
1081,2025-03-22,East,Headphones,4,2868,11472
1082,2025-03-23,West,Headphones,8,78075,624600
1083,2025-03-24,North,Headphones,6,7155,42930
1084,2025-03-25,West,Headphones,8,70531,564248
1085,2025-03-26,East,Tablet,1,76929,76929
1086,2025-03-27,East,Mobile,8,56266,450128
1087,2025-03-28,South,Headphones,4,13903,55612
1088,2025-03-29,North,Laptop,1,32597,32597
1089,2025-03-30,West,Laptop,8,79157,633256
1090,2025-03-31,South,Laptop,4,11466,45864
1091,2025-04-01,West,Laptop,6,53421,320526
1092,2025-04-02,West,Tablet,8,50226,401808
1093,2025-04-03,South,Laptop,4,50800,203200
1094,2025-04-04,South,Headphones,3,23177,69531
1095,2025-04-05,South,Smartwatch,9,56109,504981
1096,2025-04-06,South,Laptop,3,57161,171483
1097,2025-04-07,South,Tablet,9,31524,283716
1098,2025-04-08,West,Tablet,2,70813,141626
1099,2025-04-09,South,Laptop,2,53506,107012
1100,2025-04-10,North,Smartwatch,2,15838,31676
